# kml2gmt: KML read from ../../../data/DEM/south_island/gnsNZL_GNS_250K_faults.kml
# gns:NZL_GNS_250K_faults
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2024"
169.594845896	-44.4125978878
169.595374	-44.4131944643
169.595960818	-44.4136441437
169.596481779	-44.4140918774
169.596984165	-44.414863336
169.59741899	-44.4154436394
169.597873618	-44.4162812424
169.598683173	-44.417066251
169.599508908	-44.4177886765
169.600147962	-44.4187533057
169.600300627	-44.4191045965
169.641543565	-44.4089643271
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205a"
169.632036379	-44.4000518545
169.633381632	-44.4016403988
169.634279606	-44.4028645887
169.635798683	-44.4047689278
169.636711852	-44.405394541
169.637463492	-44.4059884178
169.638334887	-44.4067974529
169.63938499	-44.4075576395
169.640577015	-44.4083084354
169.641644893	-44.409033087
169.64219496	-44.4098597617
169.64317369	-44.4110501912
169.643689717	-44.4119794531
169.644120386	-44.4133070615
169.644598377	-44.4146315395
169.64507139	-44.4157667139
169.645247289	-44.4164338724
169.645592234	-44.4172230394
169.645916672	-44.4180971798
169.646137434	-44.418526943
169.646551161	-44.4194892456
169.646997447	-44.4198760169
169.647309025	-44.4203669632
169.647483338	-44.4205071367
168.808077625	-44.3959384927
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205b"
168.812044152	-44.3931298652
168.811092317	-44.3939692708
168.809745585	-44.3947942678
168.808131138	-44.3958933422
168.806426562	-44.3973315399
168.804855743	-44.398522278
168.804230576	-44.3989184806
169.44150703	-44.4123219355
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205c"
169.44478937	-44.4082099363
169.444215149	-44.4089309147
169.443326843	-44.4097548068
169.442563848	-44.4106366094
169.442044134	-44.4113907894
169.441237492	-44.4127892195
169.44076099	-44.4133465438
169.440358619	-44.4140818186
169.440045288	-44.4145901274
169.439558661	-44.4156290837
169.439098776	-44.4162229488
169.438758332	-44.4168159971
168.899728688	-44.3972782168
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205d"
168.903920802	-44.3948464445
168.902551589	-44.395788846
168.90051073	-44.39685596
168.899054856	-44.3976420464
168.897779142	-44.3983669632
168.896496432	-44.3988302976
168.895387061	-44.3994214559
168.9288283	-44.3937050278
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205e"
168.91816921	-44.4008003787
168.918734499	-44.4005771562
168.920115537	-44.3997341042
168.921759281	-44.3985894831
168.923667764	-44.3973866447
168.925084514	-44.3962970032
168.925904075	-44.3954835393
168.926857358	-44.394963155
168.928134801	-44.3942064485
168.929887198	-44.3929394138
168.930620365	-44.3923751629
168.933212512	-44.3904079309
168.935184575	-44.389369357
168.936894871	-44.3886188541
168.938202017	-44.3880658346
168.939461331	-44.3873399065
168.939770679	-44.3870895217
168.928288708	-44.3989490268
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_205f"
168.923701912	-44.4015373436
168.925111146	-44.4007402861
168.926522965	-44.4000874768
168.929258672	-44.3983236493
168.93217335	-44.3967418007
168.932856208	-44.3963154218
168.794142272	-44.3935447962
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2060"
168.795218626	-44.3970210351
168.794964244	-44.3960925545
168.794608878	-44.3952144456
168.794212918	-44.3942447344
168.794109758	-44.3932226606
168.794225256	-44.3922626605
168.794505368	-44.3912411005
168.794877635	-44.3899841094
168.916192431	-44.4015395197
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2061"
168.91413854	-44.4020628845
168.914428751	-44.402001112
168.915478585	-44.4016779833
168.916793934	-44.401422847
168.91816921	-44.4008003787
168.911647338	-44.4019578209
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2062"
168.909209927	-44.4013604646
